DATE,ALGERIA,ANGOLA,BENIN,BOTSWANA,BURKINAFASO,BURUNDI,CABOVERDE,CAMEROON,CAR,CHAD,COMOROS,CONGODR,CONGOREPUB,DJIBOUTI,EGYPT,EQGUINEA,ERITREA,ETHIOPIA,GABON,GAMBIA,GHANA,GUINEA,GUINEABISSAU,IVORYCOAST,KENYA,LESOTHO,LIBERIA,LIBYA,MADAGASCAR,MALAWI,MALI,MAURITANIA,MAURITIUS,MOROCCO,MOZAMBIQUE,NAMIBIA,NIGER,NIGERIA,RWANDA,SAOTOME,SENEGAL,SEYCHELLES,SIERRALEONE,SOMALIA,SOUTHAFRICA,SUDAN,TANZANIA,TOGO,TUNISIA,UGANDA,ZAMBIA,ZIMBABWE
1960,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1961,86.4,100,103.1,106.3,104,86.3,100,101.2,105,101.4,100,89.1,108.4,100,104.4,100,100,100,114.8,100,103.4,100,100,109.9,92.2,101.9,102.4,100,102,107.6,100,115.5,100,100,100,100,104.5,100.2,95.7,100,103,95.1,101.8,96.7,103.8,100,100,112.2,100,100,101.4,106.3
1962,69.3792,105.2,99.5946,113.4221,110.344,94.1533,104.5,104.236,101.115,106.8756,103.2,107.9892,114.0368,101.7,111.6036,118.7,82.5,103.8,123.2952,104.5,107.6394,105.7,100.8,111.2188,100.959,117.4907,103.7312,132.6,104.346,108.3532,87.3,116.3085,102.7,116.6,108.2,100,115.2635,104.3082,106.5141,118.4,102.897,103.0884,106.381,103.5657,110.2356,106.9,103.5,116.4636,104.8,103.6,98.865,107.7882
1963,93.1762656,114.8784,104.2755462,120.1140039,108.909528,98.0135853,105.127,108.092732,100.407195,105.1655904,106.5024,113.6046384,109.475328,103.9374,121.7595276,119.1748,70.7025,108.99,130.8162072,108.5755,112.3755336,109.928,99.5904,127.345526,109.843392,129.9447142,106.1170176,138.8322,103.406886,106.8362552,92.7126,113.98233,111.5322,132.1078,116.0986,105.6,126.098269,113.2787052,96.0757182,140.896,104.852043,113.5003284,108.189477,106.4655396,118.3930344,103.9068,106.812,122.28678,117.376,109.9196,102.127545,114.4710684
1964,98.580489,126.940632,111.2620078,128.2817562,111.4144471,104.1884412,120.265288,111.8759776,102.5157461,102.5364506,106.6089024,110.8781271,113.6353905,106.2240228,131.6220493,130.1388816,62.5717125,118.90809,136.8337527,114.1128505,114.8477953,112.566272,97.7977728,149.7583386,115.3355616,140.7301255,111.6351025,132.8624154,107.5431614,109.7208341,92.0636118,145.5554354,111.3091356,144.658041,124.5737978,111.3024,126.2243673,118.9426405,84.06625343,179.501504,108.9412727,120.1968478,115.438172,99.97114168,127.7460841,102.7638252,112.579848,139.7737895,123.127424,120.91156,114.5871055,113.2118866
1965,104.6924793,136.58812,117.1588942,135.722098,115.6481961,108.3559788,123.9935119,114.1134972,103.4383878,103.1516693,109.5939517,111.9869083,117.8398999,110.0480876,138.3347739,104.371383,57.31568865,123.9022298,148.1909542,122.10075,116.4556645,117.0689229,92.51669307,145.1158301,117.6422728,143.8261882,116.9935874,110.5415296,107.0054456,124.6428675,94.91758377,168.9898605,126.6697963,156.8093164,131.5499305,117.6466368,134.9338486,124.7708298,89.95089116,218.2738289,110.3575092,118.8746825,123.7497203,94.07284433,135.5385952,109.7517653,115.7320837,161.4387269,126.328737,127.1989611,133.608565,118.7592691
1966,99.66724032,146.9688172,121.3766144,144.2725902,116.2264371,113.3403538,130.9371486,119.362718,104.0590181,101.2949393,112.6625823,119.6020181,119.4896585,113.019386,139.8564564,115.1216355,53.93406302,130.5929502,154.8595471,128.0836868,111.4480709,120.1127149,91.12894267,161.9492664,134.9356869,143.2508835,126.0020937,107.9990744,109.25256,141.095726,93.11414967,169.3278402,130.9765694,163.8657357,140.2322259,124.3524951,134.3941132,119.4056842,96.24745355,242.9387715,113.557877,135.3982633,125.8534656,102.6334732,141.5022934,105.8007018,119.8984388,176.6139672,130.7502428,135.2124957,126.1264854,120.5406581
1967,109.1356281,153.8763516,122.7117572,152.784673,126.4543636,128.9813227,141.8049319,106.3521818,108.949792,102.1052988,118.9716869,118.4059979,121.9989413,121.0437624,140.6955951,126.1733125,52.15423894,131.115322,161.2087886,128.0836868,114.9029611,122.154631,91.22007162,169.3989326,139.5235003,158.8652298,134.4442339,92.12321049,115.2614508,151.395714,104.2878476,175.4236425,145.2530155,180.2523093,151.3105717,131.5649398,134.5285073,100.6589917,102.8885278,263.3456283,112.1951825,136.0752546,125.8534656,108.6888481,151.6904586,107.2819116,124.6943763,186.3277354,131.0117433,144.4069454,136.0904777,130.6660734
1968,120.922276,153.8763516,127.3748039,168.9798484,130.3744489,128.5943787,146.7681045,113.0523692,110.4750891,101.5947723,122.4218658,123.4974558,131.2708609,128.0643006,144.4943762,152.1650149,51.00684568,123.5106333,165.2390083,140.3797207,115.3625729,127.0408163,88.30102932,190.5737992,150.6853803,158.2297689,140.8975572,91.66259444,123.0992294,148.5191955,108.146498,193.316854,157.8900278,198.0972879,166.1390078,139.5904011,135.0666214,99.45108385,110.0907248,274.1427991,119.263479,146.416974,128.3705349,110.862625,158.0614578,109.4275498,129.557457,195.6441222,144.6369646,153.215769,137.7235634,133.2793949
1969,131.0797472,151.2604536,131.0686732,194.4958055,132.9819378,126.665463,156.6015676,118.5919353,118.3188204,108.6048116,129.8895997,134.9827192,141.1161754,136.7726731,154.3199937,197.3580243,52.33302367,128.4510586,178.623368,143.748834,122.2843273,131.360204,87.50632006,208.6783101,162.7402107,160.6032154,151.1830788,85.97951358,127.6539009,157.281828,108.362791,195.6366563,174.3105907,214.73746,178.1010163,148.1054156,127.6379572,123.5182461,122.2007045,292.2362238,111.3920893,146.416974,139.2820304,108.9779604,165.4903463,110.9595355,133.5737382,216.7736874,151.4349019,167.6180513,137.1726692,149.8060398
1970,142.7458447,147.3276818,133.8211154,227.7545882,133.1149198,153.6452067,166.7806694,122.2682853,121.0401533,110.668303,134.5656252,134.7127538,150.1476107,142.3803526,162.9619134,156.3075552,54.63567671,129.0933139,194.163601,152.6612617,134.1459071,136.483252,87.85634534,230.3808544,155.0914208,164.1364861,161.3123451,68.18175427,134.4195577,158.0682371,114.9729212,219.113055,188.0811273,224.8301207,192.7052997,157.5841622,131.5947339,154.3978077,129.5327468,307.7247437,120.971809,159.4480847,151.260285,113.9909466,174.0958444,117.5061481,140.9202938,222.1930296,158.5523423,194.1017034,143.7569573,183.6622049
1971,126.6155642,148.3589756,131.8137987,286.515272,134.9785286,157.7936272,168.9488181,126.5476753,122.371595,108.2336004,146.6765315,142.795519,161.8591243,150.211272,168.5026185,193.8213685,57.53136758,132.7079267,214.1624519,152.5086005,141.1214942,138.121051,84.42994787,252.2670355,189.5217163,172.5074469,169.21665,65.11357533,139.6619204,183.6752916,117.9622172,223.05709,208.5819702,237.4206074,209.8560713,169.2453902,139.0956337,176.3222964,131.0871397,336.0354201,120.8508372,184.8003301,156.5543949,116.9547112,181.5819657,120.0912834,145.852504,222.1930296,175.3588906,212.9295687,143.6132003,200.0081411
1972,161.3082288,147.7655397,140.2498818,362.1553037,138.0830348,147.6948351,165.0629953,129.9644625,122.371595,109.42417,145.3564427,143.0811101,175.779009,158.0222582,171.8726708,227.9339294,61.27090647,132.4425109,238.3628089,152.8136177,137.5934569,142.5409246,89.83346454,262.862251,221.9299297,172.162432,176.1545327,86.08014658,137.8463155,195.0631596,124.8040258,221.4956904,237.7834461,243.118702,227.2741253,178.7231321,131.8626607,182.3172544,131.4804012,378.3758831,128.5852908,196.4427509,157.9633845,128.767137,184.6688591,113.9666279,150.0822266,239.0796999,206.3974143,229.7510046,156.8256148,216.6088168
1973,167.4379415,150.2775538,145.4391274,439.2943834,138.6353669,157.8857787,178.7632239,136.9825435,124.6966553,100.2325397,146.8100072,154.67068,190.1928877,163.0789705,173.0757795,200.3539239,65.80495355,113.9005594,262.6758155,167.0252841,141.5836671,146.6746114,90.82163265,278.3711238,235.0237956,217.6133141,172.1029784,99.25040901,134.2623113,199.5496123,122.9319654,211.3068886,262.9884913,251.8709753,246.1378776,191.0550282,109.4460084,192.1623862,135.9507348,416.5918472,121.3845145,214.3190413,161.5965423,126.1917943,193.1636266,114.6504277,157.4362558,248.1647284,204.9526324,244.2253179,155.2573586,222.240646
1974,179.9957871,151.3294967,150.2386186,477.9522892,150.1421024,156.7805783,176.2605388,151.6396757,132.5525445,105.2441667,151.9483574,159.4654711,205.2181259,169.1128924,177.402674,201.7564014,71.33256965,108.8889347,366.4327626,176.8797759,151.3529402,151.5148736,94.99942775,290.3410822,244.6597712,241.5507786,180.3639214,118.7034892,136.9475575,213.9171844,121.0879859,237.086329,294.5471103,265.9757499,260.9061503,203.091495,119.0772571,213.6845734,137.8540451,475.3312977,126.4826641,217.1051888,167.2524213,103.0986959,204.9466078,127.7205764,165.1506323,260.0766354,221.5537956,259.3672876,165.1938296,236.9085287
1975,188.9955765,155.8693816,142.8769263,518.1002815,154.6463655,157.8780423,176.2605388,168.6233193,133.0827547,114.7161417,158.1782401,151.4921975,221.0199216,171.31136,193.191512,232.221618,77.53850321,101.4844872,436.787853,198.8128681,132.5851756,154.0906265,102.4093831,314.439392,246.8617092,208.9414235,174.0511842,123.0955183,138.7278757,226.9661326,135.1341923,224.9949262,307.5071832,286.1899069,269.2551471,213.4491612,115.7430939,202.5729756,134.9591101,489.1159053,135.9688639,224.0525548,170.0957125,134.1314034,208.4307002,147.7727069,175.0596702,266.3184747,237.5056689,256.5142474,161.3943715,232.4072666
